figurative_type,uuid,phrase,category
idiom,64861158835233363386331472181144064070428719885813713537640510486207479537322,dog tired,Figurative+Literal
idiom,64793735484029926692081903032989524859145532397923604138222493572045645628161,steal someone's thunder,Literal
simile,87112493812147142930766048106262431967484904382374690153777890541958212902513,as filthy as a pigsty,Figurative
simile,95046431434064218570305256553924313117067140800938914948267511721021830851530,as big as a mountain,Partial Literal
idiom,27213917154439711064135407723232736927175020977516046272222421598764357859735,throw the book at,Figurative
idiom,39830448520324942854052497594083053565981167435211672150678006971130467906325,could eat a horse,None
simile,27357070747784822246757732830110207593720626877911849137928002516894682093690,as deep as the ocean,Figurative
idiom,69752559426758209467962608447737244007755797729040553710453658982621461226794,out of sight,None
simile,58044916510316866717619831469262870272599436296971632614684421227993991363269,as tall as a skyscraper,Partial Literal
idiom,14010768843797716624363845857683531149034312646632121010345625081475687494614,head south,Figurative
idiom,89585309504709870348674041944015817775543087742154122196490856118574325179093,pull the plug,None
idiom,111736086827479906105778885684456626480638846503285268622984388771421738409205,fly the coop,None
metaphor,2251175294547479980711071854219412774114132738866841735695821384368276696866,heart of a lion,Figurative
simile,18450000783505959079540994055826957495102191442182703468087142606137851760188,as fast as a cheetah,Figurative
simile,25077318684665680976517415666032472002923828590430693434209897892514724701002,as red as a tomato,Figurative
metaphor,71620365976130331411817835903526359023430238617139602957023738706058072842018,he was a tiger,Partial Literal
idiom,19558474310660379422137427780520812225920575219685504774517949661664747821194,on the money,None
idiom,15598976598595492930239912807287280938710199900746856284525019883263784974423,to a turn,Literal
metaphor,18673631560151387708298740776250103098732659845401133558719925856535065865808,wheels of justice,Figurative
metaphor,18942050562251378486540531437859809766324204495126755019739660210796514764823,homework is a breeze,Partial Literal
metaphor,71099699294597788594054785778616908665181819929343793790363622577569827660963,sea of bees,Partial Literal
idiom,27835735424392139324477050805335471971681161637895815684904933912424985596113,ruffle someone's feathers,Figurative
idiom,80404414255754548253464282484332252861187865061761137314839588066107949132758,chase rainbows,Literal
idiom,92991518394679388263475729667698673690831724857723974064076112746669513639355,hold your own,Figurative
idiom,13518553048148298440436162422499206608493362213076344560075315919919899261777,kick up your heels,Figurative
idiom,80687827230539513067072540117079061642931288162179833250769847885917945116271,behind someone's back,Figurative
idiom,109207425167010995171665923762164639238659900616118946171080057854676895029585,on the ball,Figurative
metaphor,20261288172182214652314024106293150706028427704690554115803222903764049202766,he is a fox,Partial Literal
idiom,3494002056314442149177153633143581036501412573214043653532249696761119010954,let sleeping dogs lie,None
simile,19466743127618973248690209991320460494243512651946681818482025244474709991934,as dry as a desert,Figurative
idiom,36004673134543550322687159363128525978478027494601949196048704936694834953785,walk all over,Figurative
idiom,103997158095262663038219554078836625405306288734966225167471741904037548773137,in the dock,Literal
idiom,94980614161163013646967951611458009378687450996647866709858754799723877652958,out of the picture,None
simile,50865432188482194410383778346934655212345834828041851509434160628742044431543,as pretty as a princess,Partial Literal
metaphor,85562100718568891862202128973384853188897414788498548837732907818823275675639,heart sank,Figurative
simile,102991470386949951061632645551450996502146112036713687553084385321903001781803,as happy as a kid,Partial Literal
idiom,87495900106220574407604262990735584774282937855479903243708080886484527692561,fish in troubled waters,None
simile,28661650710324330449263438145227046505339057911177058357209994970896997887786,as angry as a hornet,Partial Literal
idiom,97554560420379754166329160448325885905246267602156136697424530348817059276079,bite the big one,None
idiom,72948880964713349666893098587217335935357334695434731441895293209110609951061,beat swords into ploughshares,Literal
idiom,83439129925600933089764686381945045371181658435549911436812978799951723666855,leave someone in the lurch,None
idiom,100248715910045979723309238792351423856829090934065445329614865085931883448254,press the panic button,Partial Literal
idiom,112567377401293646708962234928588132257649617724551771691423839849098702996074,from scratch,None
idiom,115458997876329958708515103445133319158442613816133038467736192159536314723191,away with the fairies,Figurative
idiom,248402186196201993461717494666956363717352803590036600457782523609843672502,carrot and stick,Literal
simile,18285493453883621294926604789249798356852962269047145557437032073000904904938,as sharp as a knife,Partial Literal
idiom,54132943648253775989107745576724700080470743645829383645030827132074059240049,break even,None
metaphor,16012868887915228305695987530559336999305431236226890135907127688863292923246,he was a chicken,Partial Literal
idiom,52117838051721501824167100673739479911439772358214818110109561864424073091188,sitting pretty,Figurative
simile,106929826195931003181499376261947365617133657460748626167954744840816291359832,as cold as ice,Partial Literal
idiom,1154927474315776473693207528980110308793612619552192171642887048575716576218,lay down the law,None
simile,55041699830748021456163864973676208063862864562176445690543716931162620008294,as fast as a cheetah,Figurative
idiom,8189032984967336119847216949041016298612469833241281544125509156434893381947,on paper,Literal
idiom,24956950079347014982857181924175084345226154702412471128866146845199796815016,bundle of joy,Figurative
idiom,2374587910689431301373036619840631635607729395186029395576797432640576609198,no holds barred,Figurative
metaphor,80021472422035888478721856120447560512480916874997214552821121805822138242853,she was a busy bee,Partial Literal
idiom,61002018268519226739132983368255878463901077324597477830275731600541178649724,blood is thicker than water,Literal
idiom,13583666787473391181680839287758711491806085448886749957131236163178235959421,go downhill,None
metaphor,65288173334358512147746663987061429496407177499206817703916601311285647855673,home was prison,Partial Literal
simile,4346001427986393162321219540149506223597558781254175592491915560333801582001,as dry as a desert,Partial Literal
idiom,24577079966364737966543662675712363174821285739199549944113448029380571268133,pull strings,Figurative+Literal
idiom,68090234492516065301209821440546200856412537206351348651552095799128003248289,birds of a feather,Figurative
idiom,89630866157821677731611030115217071572340415768307592068991751113877311972440,play for keeps,Figurative
metaphor,101460625669581454861052481228737916459416686537906156867164773990414932567363,sea of umbrellas,Partial Literal
simile,115744672635269051941390741119576167452474669803158466963851664766359055015403,as hard as rocks,Figurative
simile,72093262507264939835730331540370618192484537959366585527727983620401419131151,as sour as vinegar,Partial Literal
idiom,26214976287327517253853613675023810437280949162789267999741116622578908843463,take a dive,Figurative
simile,6279804926555736445828126987230092733056700629998117490511627455661199256515,as angry as a hornet,Figurative
idiom,34111814054715972951105006724731559403050763151652225521494671944060954577133,at sixes and sevens,None
simile,16205804707846565508955471908014880923604092789680119562164102954227826888836,as sweet as sugar,Partial Literal
simile,19942398142527945525460423372101792222351773786909128268968330555088534819490,as angry as a hornet,Partial Literal
simile,102782261424474856402098828567490686422574977012565468584844684164787334909859,as angry as a hornet,Figurative
idiom,31838539274510783665458160324247292955934487175217122986384490473524957767994,slap and tickle,None
idiom,66464387159451102506212522514542360982268211001928419825954753102140066285756,feast or famine,None
idiom,3722176876927335015659701534433305241886604590438002013742262887990084080777,bang for the buck,Figurative
idiom,4760273821933850370436945283822086090119997845076169392256513997234552564936,moment of truth,Figurative
idiom,39156039741534158515304629745936369781212622956017647135351528073655310825494,all along,None
simile,102019413212630926292292496757764870450815707472348789223364680209935893474439,as fresh as a daisy,Figurative
idiom,51222571950739490832155120543009211031895455887405365647417064581964297727898,take it on the chin,Partial Literal
idiom,46812600295962150286766263917028099279805339138536273796806502157270778786148,come up roses,None
simile,37060294024999608184341330853887145593855722660821664294720659580459176261377,as strong as an ox,Partial Literal
idiom,96973338717379637300145762097269686333710417729386298348787904840080872470420,hang by a thread,Figurative+Literal
metaphor,108573565712192682557582074667457912012326226425664252702304463297428623261968,she is a ray of sunshine,Partial Literal
idiom,18621965506178602582275132873146170326794871913441366483631405282245011234597,out and about,Figurative
idiom,52398116159699500755016759048067828750767807842963417162039774158943984024576,slap on the wrist,Literal
idiom,26099244402792583377879014034738726561290643865367659800634544038660118679330,speak of the devil,None
metaphor,79025495568702447497517581196499202729893149856844909673571745684535093476648,he drives a tank,Partial Literal
simile,106774661071718088255222543125600480897991528333134261738772165193051453541059,as sour as vinegar,Partial Literal
idiom,103592990015140465915646433321256516433785980466355683371127051546313908779207,set the wheels in motion,None
idiom,9149796312356954864877345994901350328056133541751475351399983927680536803747,give someone the eye,Figurative+Literal
metaphor,56040772740268534053595966013191410924056215251898129621497466589024943668288,sea of bees,Partial Literal
metaphor,27143033215592528678781914934755864213789822411925345141522418139190532696131,an angel,Figurative
idiom,54194141460225040418414313854254998369400903676527861696715530863469976399746,at the drop of a hat,Literal
idiom,83583059658236799689203882151921592995311811790363024115377964856337685743867,rank and file,Figurative
idiom,47280184008239702159279285963254392475072204303065189360593267115265084965704,cross swords,Figurative
metaphor,65948237475350549495194980946617060309297841999367775972097912366688681885226,sea of knowledge,Partial Literal
simile,23059574246203377655882056663107912846309960787878834144423620158338245788235,as smooth as silk,Partial Literal
simile,2921906099548527874369354483555186086015333104044417755388785032607587732743,as helpless as a baby,Partial Literal
idiom,15127097987360681963837663289386676074816388903575475893148622957181479739547,last hurrah,None
idiom,58506152975464957820671770326646037121135047635578777667027243196703128030925,free rein,Partial Literal
idiom,85743138792467278719788614076651417064475151973264829486789359017841945987703,in this day and age,None
idiom,100407074336606143576435337807919865036452778144757358128362359581342137304034,crystal clear,Figurative+Literal
simile,42466626093430961538790493492322153894252849166459883433373440300550529549040,as tall as a mountain,Partial Literal
idiom,10487528465237777090567906729123839493240865507919844033870765671404726342848,within an ace of,None
simile,46367437491578554111165464259931868827609831161639205403632769268760977447610,as solid as a rock,Partial Literal
idiom,107707496415018722808059664838525651791096524246046951503314696150510949506658,over my dead body,None
simile,52168544525447714730932884363695419953616561425586494790370148234238838205964,as big as a mountain,Figurative
idiom,56182568461472399795142412235296254169550188872984936213733006781808285705888,go for broke,None
idiom,52756009305867332504228600289457513161688775629607903359350439115025292881955,rain cats and dogs,Figurative
simile,47979253122803511017973684050342960417858893509011148386379040127124332223081,as slow as a snail,Partial Literal
simile,98960495118813439146552080870930207814588272359253059480792038970970736867271,as sour as vinegar,Partial Literal
idiom,86809460692822019403926719645508944397325862579085052822567481239560894892392,leave no stone unturned,None
idiom,51249265736843894675306887072455171270239709375760270360194347284528996419278,not just a pretty face,None
metaphor,12442741105399708348808700477791135887945326172848504335000275792181970978069,eyes were fireflies,Partial Literal
simile,65997769106703923636739690214615144216772140730768450387505663671087326884097,as red as a tomato,Partial Literal
simile,40123114319359378314545568035964527164616789793533860669466924102788060865438,as proud as a peacock,Figurative
idiom,8348727649406689502487864196032438971104068047779217914325537950627556978456,birds of a feather,Partial Literal
simile,105225038812258682765731193256378620492089544185119463030191540689177401372441,as brave as a lion,Figurative
simile,85228755018973519573604077356213175135419594786182238477539375221385483592666,as red as a tomato,Figurative
idiom,39875526983147020453123236280425855322045330538121838137077288756105725114508,cold comfort,None
metaphor,80142985244509977396806979769681896610458317244817374209091713862571530457514,heart of stone,Partial Literal
idiom,39475673524554022331814250695616890050044327038482665760756689794532166497802,take a dive,None
idiom,14703653921509033854776651987989244783655101098921088771177182978743418742896,kiss and make up,No Category
idiom,65165646029857332796333219873270072234525527551573701948638815392594476247811,in someone's pocket,Literal
simile,71033261528322296209928998259737446088525180250990035183930489376729308802602,as bright as the sun,Partial Literal
simile,101337055134790182499820228589692655658141892427345696787884428248707859915558,as fresh as a daisy,Figurative
idiom,112313048616427965138468338563681638798860274084807614420295139389130141856830,heavy hitter,None
simile,14430089419256781636991310444570248129910071482541671199354975369313941641430,as filthy as a pigsty,Partial Literal
idiom,65041403334197037480520007549307668920971822263498082841377971010576078879381,behind someone's back,Figurative
simile,56979458960435619060692873191735144089477132772869995925448770481629221655248,as solid as a rock,Partial Literal
simile,95531017548415836535037907986307018039105996367030396537271122740728576875465,as slow as a turtle,Partial Literal
metaphor,108631833775244808248034413277192161096907195255380860908239358751497142082731,home was prison,Partial Literal
idiom,20874276604376464642622433240958633637811951523489291346203614524872472732429,go the extra mile,None
idiom,41561491940498014499888400569916750968211292591300513158459559321187766489764,take liberties,Figurative
idiom,6995174455827564860123145537991425995140121991366747321891194090060328157488,cut loose,Figurative
simile,36201612225195257031841091672935254301585934682870674193100186472403298984832,as slow as a turtle,Partial Literal
metaphor,7825460050116240897094611125027158936627016744841157743595536967105132190359,the car is a rocket,Partial Literal
idiom,19789981201739271282741553141425964737805907767153927628917895569600628058380,fall short,None
simile,65630597548918838761622757756136569311153945569672880304761218569622082493271,as helpless as a baby,Partial Literal
idiom,5016452620876954686204135951588425752302180973089694744894493457763270168279,all over the place,None
idiom,57349452054020466223515729947722555348125686397722413377166003706109772815562,pull up stakes,None
metaphor,82992435283384664151468412243557380259911448498587885019360188061222696602529,he is a cheetah,Figurative
idiom,80545413672757507577664652326104572615376574030990728575198386483235833940329,queer someone's pitch,None
idiom,76390304249119967288112557978637544965225274441228891789266966079942891304595,see red,None
idiom,34515054879540193627320571546470185139780596163097284113666283974287643476976,kick up your heels,Figurative+Literal
metaphor,62372136120123928240803465866769353043050479712505617474092678796840620181169,heart of gold,Partial Literal
simile,57903033224717975885673113596009128893654816420347025543858709220167726895875,as cold as ice,Partial Literal
metaphor,111714784897189347477699753181651812636075555440846456414833328460772654090106,heart sank,Figurative
idiom,41462376516207211481224757592833997404128544479471846009259248861026385636895,cut from the same cloth,Figurative
idiom,67871528893807458870375670355257197586991783122940854947918945775571181428996,on the money,Figurative
metaphor,97490353879502027685778434230635140255515776233860840931593858067236846794562,the car is a rocket,Partial Literal
simile,96028548808784282887406762855781939472573504881018382143446020598615037493033,as filthy as a pigsty,Partial Literal
idiom,67256359878729218209103587862897538684394115813941853918408114013626257601189,ahead of the curve,No Category
metaphor,65813601518119714420838472850217734484878174591582339006048325985111080349056,walking encyclopedia,Figurative
metaphor,89080037724655007638389822884953865682005667661488616204896152178291642404501,light of my life,Figurative
idiom,29059475754095669126248247307441517691518848655335304388345068469776348273238,to boot,Partial Literal
idiom,78439702939033993080500320507911846152859157873770462018906914734687743886162,rub shoulders,None
idiom,110209672600759490576241758266564430568254358648946413949769576525589953998180,come a cropper,Figurative
idiom,45823512948759171538413626982402592832136792651511971372167038615647900032644,take a bow,Figurative+Literal
metaphor,105730295998813568458082488851671184352971179097218692779631916570453533255742,cute teddy bear,None
simile,77291662143744308215588235481191235092809317330028674637694233579454688989975,as filthy as a pigsty,Figurative
simile,46839574400378111019424261209177674817375105857838556620341469513847674630429,as sharp as an arrow,Figurative
simile,98302993820052944435450159503316453797680123238952795649595461289745666220952,as happy as a kid,Partial Literal
idiom,61274127361904735215987056816662670406441800958961937746344678391624685399465,cross swords,None
idiom,83988960261768292432225683084484270158211993037796247806042876987931510069075,catch someone's eye,Literal
idiom,53541815071261796552200273791150028689283254745182857950001848947631089077309,from scratch,Figurative
idiom,28428578829584807203303677456902330394236283454592583905854113637188496989050,buy the farm,Figurative
idiom,84428518183065734811247835658744806349800755939499417278462886162139921553524,hand in glove,Literal
idiom,22984106079034412394740769076292658439543957614782624375177473964235891978026,see red,Figurative+Literal
idiom,25355298021933084096074461455392784013302973827856991611720504746197562041085,not cricket,None
simile,19200925704925339047335114706616680449655333003408701024636445794282942994791,as fresh as a daisy,Figurative
idiom,12460862944516332997874297807899009665424996403642306006120749648996364473964,all over the place,None
simile,106681756637271965962623050583380289089809749491616592769854320471266068473438,as filthy as a pigsty,Figurative
idiom,65483500515307231542510151675099943982313093298262906422045115985035336041498,take liberties,None
simile,80199888827294094067222784181968836307675255849847266508042899689988435719800,as hard as a brick,Partial Literal
idiom,71817233563965345862795246086355236023838365546589725040044657747611924227967,much of a muchness,None
idiom,64241133206587012052103570688285490446293425504714521719928732908419242550361,come unstuck,None
simile,81882595615266334161254529411962897562550083034144849341321342594204588294915,as filthy as a pigsty,Partial Literal
idiom,90294103497327917828688146790278677704827171779789147298976532102596334423107,cry foul,Figurative
idiom,3562829812889191866624913463249517337368771646718988104274301281513732616310,blow off steam,Figurative+Literal
simile,62701775069537993307585594720379267377004910382846853943376063135567970982286,as filthy as a pigsty,Partial Literal
idiom,82702541146923382212523692355129494244497938638597177166420775584676837097825,strike while the iron is hot,None
simile,48538212833300626999812995052562783495125346716188744747232475619465260261394,as sour as vinegar,Figurative
metaphor,91042369520825548286350662607049808890116679926714923140300343324841941603698,light of my life,Partial Literal
idiom,104371149500725960525215516216698418479910571012803110262555776582911205512178,shoot the bull,None
idiom,48662295370959433025819447392327794876427161970217362744588089835823388154117,king of beasts,Figurative+Literal
simile,101998385311562736772702577904702318649249662102329804845384412326304551096892,as wild as an animal,Partial Literal
idiom,90097419241170705476373008083796290413316950666468529308670388662898713295804,not a pretty sight,None
simile,67440079266441074053389985699013646016608368399607270451993542772583924777616,as slow as a turtle,Figurative
idiom,39522320117665962104794564753451510032534361098029324244640170977857360108154,run amok,None
idiom,20665611310041309887932460774510104229099346868943970997005959588222909485818,split hairs,No Category
idiom,45256005829329101429331090085993422690727001633454332760517262360956091351742,out of this world,Figurative
idiom,3065501302770468288037997834307719741621446370934184060273729478731052484150,horses for courses,Figurative
simile,106693852927688238452178218341985893048943285386972056081831585305113220017162,as tall as a skyscraper,Figurative
idiom,48810702740762755536389626457606788653025083620713947510545826283505685425193,slap and tickle,Figurative
idiom,113966797491949464565782143223396842449603989187728068799073946054001463955925,come clean,Figurative
idiom,37515001129923500734216763964589607979857002864164182887134878980159669047075,out of pocket,Figurative
idiom,16028097057861999736013209888520904061152278310113007439415408815264330922435,hold the line,None
idiom,58134956895596932686102526694625198171611768786352679969348010884990330998799,come a cropper,Figurative
simile,46672297336596672159856690822770931141514050023798310645847641417286599122343,as angry as a hornet,Figurative
idiom,35164873201932924270250182354524244909762543323313577434602515547033778138894,for the time being,Figurative
simile,3484561319430339580256159711715398732701586383379803468062742412679458364338,as filthy as a pigsty,Partial Literal
idiom,34372701985253257154118472133173087756535889543604605272053454913113670194904,have the hots for,Figurative
idiom,74978418676257448529287444521513526987056891928144787028706278543388925508030,sail close to the wind,Partial Literal
idiom,35495973527396627475817415577974005484954432263816625035685383713361926950851,heavy hitter,None
metaphor,19208469773414623986850601128922726539095278953490127270143547868659590429970,sea of umbrellas,Partial Literal
idiom,26377566377603414469631986126288443342044572032698051270082164662266805209059,for my money,Partial Literal
idiom,36596978665347221393778053531980601864192695465725905883399697058016058853310,round the clock,Figurative+Literal
simile,91946188359975433838887202992662535987927502923972462573675741691877690204434,as dry as a desert,Figurative
idiom,47564728353997657766776495211528614473104653631489993934318146933263654849738,shrinking violet,Literal
idiom,93724962357477518605429549640904674825282992476435758099309446368193895419310,fall between two stools,None
idiom,100155510940978906988373848499386950910067732510615183356024841968992534542877,it takes two to tango,No Category
simile,96309948005176435926858238806641253008124459195475259959269620903341406781888,as slow as a snail,Figurative
simile,69959041673806293580590432284684042295648757712225985650802094725141090743134,as filthy as a pigsty,Partial Literal
simile,39267747705941854938870486732429943545598080390435906976627000992802521949728,as bright as the sun,Partial Literal
simile,8193238073058676450427984076437997653536394167173600433840361713867310565110,as tall as a mountain,Partial Literal
idiom,65607232544525784190982087077229271603114591981798691367048689892437369432008,within living memory,None
simile,17332591003680684458607318736860013653050300917400873871995840228550790329715,as strong as an ox,Partial Literal
simile,100778453659848081883137839725529895788765587895626563580443745716280611462710,as fresh as a daisy,Partial Literal
idiom,86338855124273623543936782895528047408787005071009217180665590661939127177903,cold comfort,None
idiom,32149437090419390526930481532937847083443977146770429602417939668657255549825,fall in line,Figurative+Literal
idiom,18522910972449658378822597763536286571114414136007415247750658715551909701043,on the ropes,None
simile,80790574349911959623463630066353773852557166138042356482646805604052334565128,as dry as a desert,Figurative
metaphor,77545206452960875405103634402966324944348021099718027169891063376446195982355,sea of knowledge,Partial Literal
idiom,86011436916926360318009793013640976183915410890325323818155391989131810234428,in the dock,Figurative
idiom,38428751584296259269692587206766289321371505711323545403773416777682873376520,hum and haw,Figurative
idiom,29353793965471470657829813957393975336203030452123852096967639953486230579647,fly the coop,None
simile,50439155374059697461208791454643793081310485324589410191576388244851607586873,as fresh as a daisy,Figurative
simile,106663610937008195738010088962666079125203815313248066310250434182683398210171,as fresh as a daisy,Partial Literal
idiom,76094585897291414619751247232956632222744205553873804071230599367025318775841,shut the door on,Literal
idiom,102108777379896884086561100363059469137363426991852692785328542100953830760448,put paid to,None
idiom,109667444920767536987149420688035445705853712156828058879187056790551273246378,slow burn,Figurative
idiom,87264961049822521982837589190709433070900937851525820639739035669721506267188,couch potato,Figurative+Literal
idiom,46656372926374327101401401046523621005241712530674387186078992547009381825753,see the light of day,Figurative
simile,37715527503078994187368034909371521668669812868298540663147508387815026245436,as red as a tomato,Figurative
simile,108710087914804774055558497986197875387657271081835679997897728487699003386968,as dry as a desert,Partial Literal
idiom,115707364787839826945024349748286563048845810569621496930344658103853399364208,brass neck,None
idiom,14557130756508772612319221143560994838391576027938361902373335831426960931089,on board,Figurative
idiom,90083854674331821407987660635806409585371372024497225789401485100243418327875,out of sight,None
simile,13513378000084567855566849942063753035398839023434841436045459279508776444367,as thin as a stick,Partial Literal
idiom,27598776597730417282201558253293572868739937340584167907087025202132210954902,it takes two to tango,Figurative
idiom,69704525349768998908859299609714055868636594352169440113683833375102433338928,follow suit,Figurative
simile,68575329379169990971964966731505070817023193411468950288515254245306431345264,as sharp as an arrow,Partial Literal
idiom,113200046471715006290926599644326731759138112371370834405604955853980500045119,round the clock,Figurative
idiom,36197588540250730050303129028334859907336466148785047124208026551659899611665,sit tight,Figurative+Literal
idiom,80130629071182450149526415154140149300350263400481324148478131772285073774273,keep tabs on,Figurative
simile,4807090118360465459874533795953868075643415533262614303677179149256472625512,as helpless as a baby,Partial Literal
idiom,15608398597069582465898907370432906498663141268741400272096177427055548889165,close to home,None
idiom,18895541554782160521373573546607241285487556903033325415989356335854061730401,show someone the door,Partial Literal
simile,112195969221761465096439820337526033026576414907533910127824008265834603475500,as busy as a bee,Partial Literal
simile,42172542377437518475036653924815037275784732043905822310985648325018201200683,as filthy as a pigsty,Figurative
simile,33853022063199616462245063820847139940303133738580780915937110040480042507486,as deep as the ocean,Partial Literal
simile,111377323514926340343961178481831717692658534283449120422258741441230674103437,as red as a cherry,Partial Literal
idiom,59369016280760012477213710787068004638526205416563629628285593144318202893081,high and mighty,Figurative
idiom,26145703114260138610241321135675785266944065098462384232770736567552854723765,feast or famine,None
simile,7935819963186392142732747005789320237185909094733610665410281247468926779920,as fast as a cheetah,Partial Literal
metaphor,83743382782401304952202086749906415012431439578025107604958967946176146263050,house of cards,Partial Literal
idiom,16075266659765686380755604371109705767574621681478630574758188875192733470022,go to the dogs,None
idiom,44223249965072136051807696295723939667454394194342727180838014572508978517823,slippery slope,Literal
idiom,8795062710765302604170228026837321957294914187352260503594115188400857821506,live a lie,None
simile,52959394227751282463144230186975265443831358960785027735199813391584729755342,as fast as a cheetah,Partial Literal
metaphor,70917447429170868092386644510301711438225192077114631862682251386055167261189,heart of a lion,Partial Literal
idiom,38140800207848966013077192930215095327601830421990445286162876340816191726611,cook someone's goose,Partial Literal
metaphor,46149163311457047210190054835291964736181736682071046971895202952465053025869,he is a fox,Partial Literal
idiom,108062601967477828050701728748948990093277733605233524694958745970188014655200,over my dead body,None
idiom,59852386467894980177895022625794050123488380514604485090037589496424999645953,all the rage,None
simile,86273930876042438878368134403164928971676241713676712958891154779259390253777,as solid as a rock,Partial Literal
idiom,66850922525650714316394082263375760185586009919313050010015966459006266097098,take the cake,None
simile,102646450462130898917644961896505359605106240423252041881050359774698898147949,as solid as a rock,Partial Literal
simile,85898586918667082415607371949485254097025455430377199753070360701584454553043,as sharp as an arrow,Partial Literal
idiom,92658927179881355112172901736133940593687003456174166226510465299364656459835,put two and two together,Figurative
simile,110852702816275841916036612873733527537069798516906968256608500135128797701057,as hard as rocks,Figurative
idiom,84600815600771751804596640933665155176167070339349689762209224768380760610517,turn someone's head,No Category
simile,90065840265849588502383191654045767026684206413671228785655360092972254171332,as wide as the sea,Partial Literal
idiom,97156131695037456333041364572442453590442303927821242815424988638901431616562,keep on trucking,None
idiom,63479709281351357876553690375467837914602651550430364760799983103308407275267,lay down the law,None
idiom,12050602016254101317454408130326659982301864419466847363741712074407603057578,sitting pretty,Figurative+Literal
simile,84922465802299620824934151284558387570314666899435433314509489285574030793417,as slow as a snail,Figurative
idiom,36889939638452728801652552917747740188515532639649040901622586610102936433126,on the money,Figurative
simile,71389506161577746598147892046870442334733786044621869866467575673664225509509,as slow as a snail,Partial Literal
idiom,110337765538603473301484240844251030931754413176128518636816587731703807642376,kick up your heels,Figurative+Literal
simile,98380739491906748436633801637931856803118551948890896935770873047893275422126,as blue as the ocean,Partial Literal
simile,52973493116590730482579602223280198423181598675172045111482180158560087659390,as red as a tomato,Partial Literal
idiom,58000474309663566657363237727729457529817945601465930951403804728848414893157,get the show on the road,Figurative
metaphor,93030523922354705393239848178877696616494703086149047278215830556765713792211,heart of gold,Figurative
simile,111166545852643055259042249634246715455786514236137768753511042362306426275723,as fresh as a daisy,Partial Literal
metaphor,106981266781608142822109383141546039410351726524892755428254074468456580692806,she is a snake,Partial Literal
idiom,97325556508497734244290832475800687481622790931901754960755561983579133015506,fall in line,Figurative
idiom,57483564565432648134972944997434105583103806571583418888968829872682812827777,count sheep,Partial Literal
simile,64084866629162228258601358765608992189214937290251428356924612363599021286232,as deep as the ocean,Partial Literal
idiom,99875181167670273654327404359693185981183576544796187578391461921574228298689,in the short run,None
idiom,49130193494829396426227622555932483552268456734312121646292894511892579973888,throw someone to the wolves,None
idiom,91716044288045969090736630635665438013473135233989496635340733664748149692689,pull the plug,None
simile,108485768354516832027883477897816447953789557464881171635477388526795537120469,as slow as a turtle,Partial Literal
idiom,44465312619338725293869356308681314412914282115775984347261706240074833722139,by no stretch of the imagination,None
idiom,62669158528213851948559182181280511141373832108422187143696270727252389048298,throw a wobbly,Figurative
metaphor,43097153416191293091418760777719763537359483579326168215028857606807063896918,a night owl,Partial Literal
idiom,31938410253316285548719490480545722384841526413697484601386584158469931601267,keep your head,Partial Literal
idiom,105780523841284195662353211625744302674870135998541917846266651469679663348816,bang for the buck,Figurative
idiom,79579021197633912597832687378390766192414984635235580755001352971880533619518,raise the roof,No Category
idiom,33408922544797688645945072741796855825070017507079810477720591545435536690521,play games,None
idiom,9013066754449545934153345806152616600784598276404053240380235588990424366835,work wonders,None
idiom,45024373526928028688397775154588595273625664616639539550667905039310991956784,at sea,Literal
idiom,17326020832684995813518032591351935571717306758298581750927515956366210590673,run amok,Figurative
idiom,28306286468485447870925372624515836747739828206457821101423165747699056619282,out of this world,None
idiom,13549172526553639367286051530378585331935404640624161815855569948673245595395,take the count,None
idiom,109575787994421911098297307204362673958572259635461220059933678181387033146075,on the money,Figurative
simile,3478487020397112920256486576786435017575764302696978832958733243969679541931,as sour as vinegar,Partial Literal
idiom,83365511990104138908371839229311576636585689769245670735375611064465152678088,jump on the bandwagon,None
simile,78481724941376493036263808065149329608804479719301651519019279546796947475727,as solid as a rock,Partial Literal
idiom,6712533971362867443500504083668558299178638954755425093228349546943476869984,take liberties,Figurative
idiom,79381386545872037154211280269405217059358177386329902294071656027958916414552,on top of the world,Figurative
simile,89948394737476828017201094160480213698577092119344054308439070868590616377833,as sour as vinegar,Figurative
metaphor,17424584524816444752873637446064626513725900206679596814474113731828320445956,eyes were fireflies,Partial Literal
idiom,106553526445730313850278063735150692668215214161621995091228093505941227540972,go to seed,None
simile,81646220762145800894262448287677834088565605914221902965748021525861560755377,as fresh as a daisy,Partial Literal
simile,102877778587816222665039507728499818287924361323271532138240239841214724580965,as filthy as a pigsty,Figurative
simile,11054616818302598899111578657633236682785335040755153601614847068308719809940,as sharp as a knife,Figurative
idiom,35022640887387416484063174198190928030311941152601550939753590979182670285234,hit the ceiling,Figurative
idiom,43747669549158296862644372279884715710183449879358985138448223893437649161700,toe the line,Figurative+Literal
idiom,36200073207750110626460063915147184709677864355772137435168656239685698434286,cut from the same cloth,Figurative
simile,25734113384006344701827135567977416141966205027695867942292764985719475894735,as fresh as a daisy,Figurative
idiom,43041376874859531275328058962310678704875366582830979264562198059637390663596,batten down the hatches,No Category
idiom,19788981723112663813547176569509683828341697822630586432975866032648045700984,off the hook,None
simile,54576865841414033592956180624580538775904119169992358762456551846940854153208,as busy as a bee,Partial Literal
